ID,Case Number,Date,Block,IUCR,PrimaryType,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11432992,JB417978,09/01/2018 08:30:00 AM,011XX S ASHLAND AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,1231,12,2,28,5,1165901,1895191,2018,09/08/2018 04:01:32 PM,41.86798947,-87.66641701,"(41.867989472, -87.666417011)"
11432785,JB417630,09/01/2018 08:55:00 AM,005XX W 120TH ST,650,BURGLARY,HOME INVASION,APARTMENT,FALSE,FALSE,524,5,34,53,5,1174688,1825317,2018,09/08/2018 04:01:32 PM,41.67605542,-87.63623772,"(41.676055424, -87.636237721)"
11433056,JB417915,09/01/2018 09:00:00 AM,008XX N WOOD ST,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,1212,12,1,24,5,1164239,1905893,2018,09/08/2018 04:01:32 PM,41.8973919,-87.67221584,"(41.897391903, -87.672215841)"
11432781,JB417640,09/01/2018 09:20:00 AM,047XX S INDIANA AVE,330,ROBBERY,AGGRAVATED,STREET,FALSE,FALSE,224,2,3,38,3,1178396,1873742,2018,09/08/2018 04:01:32 PM,41.80885631,-87.62119884,"(41.808856306, -87.621198838)"
11433000,JB417697,09/01/2018 09:54:00 AM,045XX S DR MARTIN LUTHER KING JR DR,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,TRUE,FALSE,221,2,3,38,5,1179617,1875114,2018,09/08/2018 04:01:32 PM,41.81259334,-87.61667854,"(41.812593339, -87.616678539)"
11433062,JB417701,09/01/2018 10:15:00 AM,033XX W DIVISION ST,650,BURGLARY,HOME INVASION,RESIDENCE,FALSE,FALSE,1121,11,26,23,5,1153906,1907786,2018,09/08/2018 04:01:32 PM,41.9027987,-87.71011724,"(41.902798698, -87.710117236)"
11432918,JB417755,09/01/2018 10:40:00 AM,029XX N MILWAUKEE AVE,320,ROBBERY,STRONGARM - NO WEAPON,ALLEY,FALSE,FALSE,1412,14,35,21,3,1152251,1919234,2018,09/08/2018 04:01:32 PM,41.93424585,-87.71589364,"(41.934245847, -87.715893636)"
11433051,JB418016,09/01/2018 10:45:00 AM,047XX S TRIPP AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,815,8,23,57,5,1148824,1872901,2018,09/08/2018 04:01:32 PM,41.80716969,-87.72968533,"(41.807169691, -87.729685334)"
11435754,JB421204,09/01/2018 11:00:00 AM,050XX W WASHINGTON BLVD,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1533,15,28,25,5,1142670,1900031,2018,09/08/2018 04:01:32 PM,41.88173464,-87.75158268,"(41.881734638, -87.751582682)"
24157,JB417774,09/01/2018 11:49:00 AM,007XX S CAMPBELL AVE,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,1135,11,2,28,01A,1159838,1896861,2018,09/08/2018 04:01:32 PM,41.87269921,-87.68862937,"(41.872699213, -87.688629374)"
11433162,JB417842,09/01/2018 12:00:00 PM,017XX E 95TH ST,330,ROBBERY,AGGRAVATED,SMALL RETAIL STORE,FALSE,FALSE,431,4,7,51,3,1189459,1842326,2018,09/08/2018 04:01:32 PM,41.72238945,-87.58162963,"(41.722389451, -87.581629631)"
11433198,JB418245,09/01/2018 01:30:00 PM,021XX N SAYRE AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,2512,25,36,25,5,1129242,1913388,2018,09/08/2018 04:01:32 PM,41.91862728,-87.80058632,"(41.918627276, -87.800586316)"
11433112,JB417999,09/01/2018 01:30:00 PM,094XX S EWING AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,432,4,10,52,5,1201416,1843197,2018,09/08/2018 04:01:32 PM,41.72448469,-87.53780427,"(41.72448469, -87.537804265)"
11433092,JB417964,09/01/2018 01:30:00 PM,063XX S WASHTENAW AVE,650,BURGLARY,HOME INVASION,APARTMENT,FALSE,TRUE,825,8,15,66,5,1159469,1862400,2018,09/08/2018 04:01:32 PM,41.77814173,-87.69093018,"(41.778141727, -87.690930179)"
11433457,JB418123,09/01/2018 02:15:00 PM,0000X W HURON ST,610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1832,18,42,8,5,1175642,1905056,2018,09/08/2018 04:01:32 PM,41.89484638,-87.63035963,"(41.894846375, -87.63035963)"
11434961,JB420368,09/01/2018 03:00:00 PM,074XX N CAMPBELL AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,2411,24,50,2,5,1158375,1949452,2018,09/08/2018 04:01:32 PM,42.01704227,-87.69255729,"(42.017042267, -87.692557285)"
11433946,JB419148,09/01/2018 03:00:00 PM,033XX W WRIGHTWOOD AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,1412,14,35,22,5,1153541,1917087,2018,09/08/2018 04:01:32 PM,41.92832872,-87.71121013,"(41.928328717, -87.71121013)"
11433580,JB418656,09/01/2018 03:00:00 PM,026XX S ST LOUIS AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1032,10,22,30,5,1153458,1886312,2018,09/08/2018 04:01:32 PM,41.84388065,-87.7123335,"(41.843880654, -87.712333502)"
11433220,JB418090,09/01/2018 03:00:00 PM,033XX S ARCHER AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,912,9,11,59,5,1164174,1882489,2018,09/08/2018 04:01:32 PM,41.83317059,-87.67311566,"(41.833170591, -87.673115656)"
11433187,JB418155,09/01/2018 03:37:00 PM,048XX W JACKSON BLVD,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1533,15,28,25,5,1144056,1898230,2018,09/08/2018 04:01:32 PM,41.87676658,-87.74653848,"(41.87676658, -87.746538479)"
11433806,JB418937,09/01/2018 04:30:00 PM,023XX W SUPERIOR ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1221,12,1,24,5,1160702,1904941,2018,09/08/2018 04:01:32 PM,41.89485359,-87.6852332,"(41.894853594, -87.685233197)"
